,Lat,Long
0,8.888283333,-79.52146667
1,8.86163,-79.50012
2,8.83178,-79.47598
3,8.74058,-79.45727
4,8.58077,-79.45135
5,7.75348,-79.45287
6,7.03288,-80.16735
7,6.96667,-80.23578
8,6.96627,-81.83278
9,8.69318,-88.19198
10,18.30943,-111.61018
11,29.79338,-177.9995
12,30.0621,140.32785
13,29.99758,130.49528
14,30.24955,130.15135
15,30.74757,129.32463
16,33.00015,125.99752
17,34.08135,125.79653
18,34.1628,125.67485
19,34.51665,125.61665
21,36.68967,125.9448
22,36.76665,126
26,36.85781667,126.11715
